time_req_entrance,time_req_pharmacy,time_req_registration,time_req_waiting_area,size_entrance_x,size_entrance_y,size_pharmacy_x,size_pharmacy_y,size_registration_x,size_registration_y,size_waiting_area_x,size_waiting_area_y,creation_rate,infected_rate,transmission_rate,transmissions,agents,average_transmissions
10,15,20,60,20,10,8,8,5,5,10,10,0.2,0.03,0.1,6.98,200.63,0.03428334284930319
10,15,20,60,20,10,8,8,5,5,11,10,0.2,0.03,0.1,7.15,200.15,0.03553024753915124
10,15,20,60,20,10,8,8,5,5,12,10,0.2,0.03,0.1,6.63,199.15,0.03289279184252385
10,15,20,60,20,10,8,8,5,5,13,10,0.2,0.03,0.1,8.11,199.57,0.03999362248970066
10,15,20,60,20,10,8,8,5,5,14,10,0.2,0.03,0.1,7.19,200.56,0.03557693598072288
10,15,20,60,20,10,8,8,5,5,15,10,0.2,0.03,0.1,7.18,200.51,0.03577504874661749
10,15,20,60,20,10,8,8,5,5,16,10,0.2,0.03,0.1,7.63,198.62,0.03804497810543996
10,15,20,60,20,10,8,8,5,5,17,10,0.2,0.03,0.1,6.69,199.36,0.033122104658532485
10,15,20,60,20,10,8,8,5,5,18,10,0.2,0.03,0.1,6.58,200.75,0.03249745064156826
10,15,20,60,20,10,8,8,5,5,19,10,0.2,0.03,0.1,6.68,200.38,0.033155940993261586
10,15,20,60,20,10,8,8,5,5,20,10,0.2,0.03,0.1,7.7,200.39,0.038231387993428005
10,15,20,60,20,10,8,8,5,5,21,10,0.2,0.03,0.1,7.11,199.11,0.0357012046447545
10,15,20,60,20,10,8,8,5,5,22,10,0.2,0.03,0.1,5.97,200.07,0.029744727395938128
10,15,20,60,20,10,8,8,5,5,23,10,0.2,0.03,0.1,6.45,201.28,0.032083013037224356
10,15,20,60,20,10,8,8,5,5,24,10,0.2,0.03,0.1,6.28,199.17,0.03123957598299275
10,15,20,60,20,10,8,8,5,5,25,10,0.2,0.03,0.1,7.13,199.63,0.03552215566540234
10,15,20,60,20,10,8,8,5,5,26,10,0.2,0.03,0.1,7.35,198.23,0.03676171902363002
10,15,20,60,20,10,8,8,5,5,27,10,0.2,0.03,0.1,6.73,199.26,0.03342355896099721
10,15,20,60,20,10,8,8,5,5,28,10,0.2,0.03,0.1,6.52,201.91,0.0320563412170914
10,15,20,60,20,10,8,8,5,5,29,10,0.2,0.03,0.1,7.62,202.35,0.037504650570320354
